,ret,vola,sharpe,xesc,xspx,phau,csbgu7,csbgu3,ibtm,em13,em35,em57,em710,em1015,em15
533,0.03871169381736784,0.03514933919546649,0.8168487509168032,0.0726205404362861,,0.03572607879484808,,,,0.04929075913539636,,0.8423626216334694,,,
430,0.05166982877504793,0.049647317194164334,0.8393168277770687,0.14653281851785957,,0.07317447982164141,,,,0.014425814778042709,,,0.7658668868824563,,
891,0.051293169220824025,0.050658436923659025,0.8151291616646558,0.07080493954738555,,0.09737157842793061,,,,0.1378012872121298,,,,0.694022194812554,
953,0.07403966534559556,0.07464716322806415,0.8578981782594971,0.16818963811976476,,0.03727708313490831,,,,0.038796112236648216,,,,,0.7557371665086787
386,0.03776757085563044,0.03546949123553873,0.7828578840118423,0.047968291564618404,,0.09817587068977002,,,,,0.0859082797287595,0.7679475580168521,,,
106,0.049366436088033705,0.045807520801794975,0.8593880524197922,0.10836469013117207,,0.04884068992521755,,,,,0.068377119414244,,0.7744175005293663,,
695,0.04967456113228255,0.04796930621414074,0.8270822378620726,0.08774773388766959,,0.05701752049568878,,,,,0.2681009913305147,,,0.587133754286127,
111,0.05562923229616998,0.05256556616536254,0.8680441518051569,0.1173399647257437,,0.06441768040377509,,,,,0.3606583482926857,,,,0.45758400657779547
351,0.04650692432923251,0.04114588076965187,0.8872558721882814,0.0767274036030929,,0.038476750901165695,,,,,,0.31915547821219264,0.5656403672835487,,
555,0.049497400539349784,0.04536799869727752,0.8706004600930297,0.0715324944093129,,0.026163765254089418,,,,,,0.4594771051476346,,0.4428266351889631,
23,0.05533895621758644,0.04921344872532408,0.9212716725185748,0.11170662910042384,,0.06237515618368864,,,,,,0.4937866981175619,,,0.3321315165983256
648,0.052663997323796716,0.04818963724144735,0.8853355153937931,0.08948522197367577,,0.03765164412644193,,,,,,,0.6664569500402925,0.20640618385958986,
543,0.06283283012381932,0.05720592980635132,0.9235551332294493,0.12224933271518225,,0.023299033591993385,,,,,,,0.47928646973200967,,0.37516516396081473
595,0.06742898869683778,0.06345317856829512,0.9050608652335129,0.14499878454721216,,0.08485846219847594,,,,,,,,0.38147357943609783,0.388669173818214
984,0.04990910541577506,0.07174411809252604,0.556270067523941,0.22850772000316727,,,0.411807274074349,0.025094626311726317,0.3345903796107573,,,,,,
821,0.05188944304921354,0.07925838877531427,0.5285174692102798,0.20700220458589996,,,0.7714295076596344,0.014119930757677132,,0.0074483569967885585,,,,,
217,0.027731052364988597,0.027332979991598363,0.6487054236471393,0.035971935120481024,,,0.16837231490073953,0.04050258592118226,,,0.7551531640575971,,,,
688,0.03692163716813975,0.0332986694936238,0.808489875948192,0.0013036696324244081,,,0.0999849412138732,0.10492369281979928,,,,0.7937876963339031,,,
226,0.04821349699523213,0.04408664626235113,0.8667816727956801,0.06032121344769497,,,0.3017157473603835,0.008082249085653442,,,,,0.6298807901062681,,
466,0.0531186599045624,0.05117777433702387,0.8425270630295618,0.06538557607668102,,,0.3217045571768547,0.04150007838987122,,,,,,0.571409788356593,
980,0.06519842122981664,0.06309672980460516,0.8748222198004934,0.12859436529415513,,,0.19463855756363213,0.09683222114010963,,,,,,,0.5799348560021031
395,0.04894387100058456,0.06917599350128871,0.5629680042088453,0.2157370561869732,,,0.486802933922888,,0.23938333157106548,0.05807667831907327,,,,,
