,isin,nome,ticker,benchmark,ter,areaBenchmark,emittente,strumento,dataSource,startDate,endDate,volAvg
373,IE00B14X4Q57,ISHARES GOVT BOND 1-3YR UCITS ETF DIST,IBGS.MI,BARCLAYS EURO GOV BOND 1-3 YEAR TERM,0.002,TITOLI DI STATO - EURO,ISHARES,ETF,IBGS.MI,2006-09-25,2019-04-04,15075
374,IE00B1FZS681,ISHARES EURO GOVT BOND 3-5YR UCITS ETF,IBGX.MI,BARCLAYS EURO GOV BOND 5 YEAR TERM,0.002,TITOLI DI STATO - EURO,ISHARES,ETF,IBGX.MI,2007-03-20,2019-04-04,45197
375,IE00B4WXJG34,ISHARES EU GOVT BOND 5-7Y UCITS ETF DIST,IBGY.MI,BARCLAYS EURO GOV BOND 5-7 YEAR TERM,0.002,TITOLI DI STATO - EURO,ISHARES,ETF,IBGY.MI,2010-01-20,2019-04-04,12204
376,IE00B4WXJH41,ISHARES EU GOVT 10-15YR UCITS ETF DIST,IBGZ.MI,BARCLAYS EURO GOV BOND 10-15 YEAR TERM,0.002,TITOLI DI STATO - EURO,ISHARES,ETF,IBGZ.MI,2010-01-27,2019-04-04,142
377,IE00B1FZS798,ISHARES $ TREASURY 7-10YR UCITS ETF DIST,IBTM.MI,BARCLAYS US TREASURY 10 YEAR TERM,0.002,TITOLI DI STATO - NON EURO,ISHARES,ETF,IBTM.MI,2007-03-20,2019-04-04,10783
378,IE00B14X4S71,ISHARES $ TREASURY 1-3YR UCITS ETF DIST,IBTS.MI,BARCLAYS US TREASURY 1-3 YEAR TERM,0.002,TITOLI DI STATO - NON EURO,ISHARES,ETF,IBTS.MI,2006-09-25,2019-04-04,6762
387,IE00B3FH7618,ISHARES EU GOVT BOND 0-1Y UCITS ETF DIST,IEGE.MI,BARCLAYS EURO SHORT TREASURY (0-12MONTH)TR,0.002,TITOLI DI STATO - EURO,ISHARES,ETF,IEGE.MI,2009-09-29,2019-04-04,345
392,IE00B14X4N27,ISHARES MSCI EURO EX-UK UCITS ETF DIST,IEUX.MI,MSCI EUROPE EX-UK,0.004,AZIONARIO EUROPA - AREA,ISHARES,ETF,IEUX.MI,2006-09-25,2019-04-04,16146
399,IE00B1FZSB30,ISHARES CORE UK GILTS UCITS ETF GBP DIST,IGLT.MI,FTSE ACTUARIES GOV SECURITIES UK GILTS ALL STOCK,0.002,TITOLI DI STATO - NON EURO,ISHARES,ETF,IGLT.MI,2007-03-20,2019-04-04,15071
407,IE00B1YZSC51,ISHARESCOREMSCIEUROPE UCITS ETF,IMEU.MI,MSCI EUROPE,0.0012,AZIONARIO EUROPA - AREA,ISHARES,ETF,IMEU.MI,2008-03-18,2019-04-04,157330
409,IE00B3YLTY66,SPDR MSCI ACWI IMI UCITS ETF,IMIE.MI,MSCI ALL COUNTRY WORLD INVESTABLE MARKET NTR,0.004,AZIONARIO MONDO,SPDR,ETF,IMIE.MI,2012-04-12,2019-04-04,996
410,IE00B14X4M10,ISHARES MSCI NORTH AMER UCITS ETF DIST,INAA.MI,MSCI NORTH AMERICA,0.004,AZIONARIO NORD AMERICA,ISHARES,ETF,INAA.MI,2006-09-25,2019-04-04,11636
423,IE00B0M63284,ISHARES EURO PROP YIELD UCITS ETF DIST,IPRP.MI,FTSE EPRA/NAREIT DEV EUROPE EX UK DIV + INDEX TR,0.004,REAL ESTATE,ISHARES,ETF,IPRP.MI,2006-03-09,2019-04-04,2867
