,isin,nome,ticker,benchmark,ter,areaBenchmark,emittente,strumento,dataSource
89,IE00B1FZS913,ISHARES EU GOVT 15-30YR UCITS ETF DIST,IBGL.MI,BARCLAYS EURO GOV BOND 30 YEAR TERM,0.002,TITOLI DI STATO - EURO,ISHARES,ETF,IBGL.MI
90,IE00B1FZSB30,ISHARES CORE UK GILTS UCITS ETF GBP DIST,IGLT.MI,FTSE ACTUARIES GOV SECURITIES UK GILTS ALL STOCK,0.002,TITOLI DI STATO - NON EURO,ISHARES,ETF,IGLT.MI
91,IE00B1FZSC47,ISHARES $ TIPS UCITS ETF USD ACC,ITPS.MI,BARCLAYS U.S. GOV INFLATION-LINKED ALL BONDS,0.0025,INFLAZIONE,ISHARES,ETF,ITPS.MI
92,IE00B1FZSF77,ISHARES US PROPERTY YIELD UCITS ETF,IUSP.MI,FTSE EPRA/NAREIT UNITED STATES DIVIDEND + INDEX TR,0.004,REAL ESTATE,ISHARES,ETF,IUSP.MI
93,IE00B1TXK627,ISHARES GLOBAL WATER UCITS ETF USD DIST,IH2O.MI,S&P GLOBAL WATER INDEX,0.0065,AZIONARIO TEMATICI,ISHARES,ETF,IH2O.MI
94,IE00B1TXLS18,ISHARES UK PROPERTY UCITS ETF GBP DIST,IUKP.MI,FTSE EPRA/NAREIT UK INDEX TR,0.004,REAL ESTATE,ISHARES,ETF,IUKP.MI
95,IE00B1W57M07,ISHARES BRIC 50 UCITS ETF USD DIST,BR50.MI,FTSE BRIC 50 INDEX,0.0074,AZIONARIO EMERGENTI - MONDO,ISHARES,ETF,BR50.MI
96,IE00B1XNH568,ISHARES FTSE MIB UCITS ETF EUR DIST,IMIB.MI,FTSE MIB,0.0035,AZIONARIO ITALIA,ISHARES,ETF,IMIB.MI
97,IE00B1XNHC34,ISHARES GLOBAL CLEAN ENERGY UCITS ETF,INRG.MI,S&P GLOBAL CLEAN ENERGY,0.0065,AZIONARIO TEMATICI,ISHARES,ETF,INRG.MI
98,IE00B1YZSC51,ISHARESCOREMSCIEUROPE UCITS ETF,IMEU.MI,MSCI EUROPE,0.0012,AZIONARIO EUROPA - AREA,ISHARES,ETF,IMEU.MI
99,IE00B23D8S39,INVESCO FTSE RAFI US 1000 UCITS ETF,PFT.MI,FTSE RAFI US 1000,0.0039,AZIONARIO NORD AMERICA,INVESCO,ETF,PFT.MI
100,IE00B23D8X81,INVESCO FTSE RAFI EUROPE UCITS ETF,PEF.MI,FTSE RAFI EUROPE,0.005,AZIONARIO EUROPA - AREA,INVESCO,ETF,PEF.MI
101,IE00B23D8Y98,INVESCO FTSE RAFI EU MID-SMALL UCITS ETF,PWD.MI,FTSE RAFI DEVELOPED EUROPE MID-SMALL,0.005,AZIONARIO EUROPA - AREA,INVESCO,ETF,PWD.MI
102,IE00B23D9240,INVESCO DYNAMIC US MARKET UCITS ETF,PWC.MI,DYNAMIC MARKET INTELLIDEX,0.0075,AZIONARIO NORD AMERICA,INVESCO,ETF,PWC.MI
103,IE00B23D9570,INVESCO FTSE RAFI EM MKTS UCITS ETF,PEH.MI,FTSE RAFI EMERGING MARKETS,0.0065,AZIONARIO EMERGENTI - MONDO,INVESCO,ETF,PEH.MI
104,IE00B27YCK28,ISHARES MSCI EM LAT AMER UCITS ETF DIST,LTAM.MI,MSCI EM LATIN AMERICA USD 10/40,0.0074,AZIONARIO EMERGENTI - CENTRO/SUD AMERICA,ISHARES,ETF,LTAM.MI
105,IE00B3B8Q275,ISHARES EU COVERED BOND UCITS ETF DIST,ICOV.MI,MARKIT IBOXX EURO COVERED INDEX TR,0.002,OBBLIGAZIONARIO CORPORATE - EURO,ISHARES,ETF,ICOV.MI
106,IE00B3BPCH51,INVESCO EUROMTS CASH 3 MONTHS UCITS ETF,PEU.MI,FTSE MTS EUROZONE GOVERNMENT BILL 0-6 MONTH CAPPED,0.0015,LIQUIDITA',INVESCO,ETF,PEU.MI
107,IE00B3CNHG25,L&G GOLD MINING UCITS ETF,AUCO.MI,DAXGLOBAL GOLD MINERS (TR) USD,0.0065,AZIONARIO TEMATICI,LEGAL & GENERAL,ETF,AUCO.MI
